flex-shrink-0 href,el-image__inner src,text-xl,text-xl,flex href,ml-1,ml-2,,text-xs,mt-2,text-xs 2,text-xs href,text-xs 3,text-xs href 2,text-xs 4,text-xs href 3
adobe-com,170350412560472027.jpg,Adobe,土坯,https://adobe.com/,283.7米,10,,25.96%,提供创意、营销和文档管理解决方案的领先公司。,AI 广告创意助手,ai-ad-creative-assistant,AI广告助手,advertising-assistant,AI平面设计,ai-graphic-design
intuit-com,170350414535919464.jpg,Intuit,直觉,https://intuit.com/,216.2米,6,,82.94%,全球金融科技平台为个人和企业提供财务信心。,其他,other,,,,
force-com,170350382821828742.jpg,Salesforce Einstein,Salesforce Einstein,https://force.com/,106.2米,4,,47.79%,将数据、AI、CRM、开发和安全统一到一个综合平台中。,AI 分析助手,ai-analytics-assistant,AI CRM助手,ai-crm-assistant,,
shop-app,170350442042132367.jpg,Shop: Your AI-Powered Shopping Assistant,商店：您的人工智能购物助手,https://shop.app/,81.8米,11,,69.89%,人工智能驱动的购物助手和移动应用程序，可实现方便和个性化的在线购物。,AI产品描述生成器,ai-product-description-generator,AI广告助手,advertising-assistant,人工智能网站建设者,ai-website-builder
site-com,170349895010883436.jpg,Salesforce Einstein 1 Platform for Application Development,Salesforce Einstein 1 应用程序开发平台,https://site.com/,76.2米,2,,40.78%,高效协作的软件应用程序开发平台。,AI 应用程序生成器,ai-app-builder,AI 开发人员工具,ai-developer-tools,AI产品描述生成器,ai-product-description-generator
shutterstock-com,170350419957343320.jpg,Shutterstock,Shutterstock,https://shutterstock.com/,65.4米,12,,15.28%,库存图片、照片、矢量图、视频和音乐。,AI广告助手,advertising-assistant,AI 内容生成器,ai-content-generator,AI照片和图像生成器,ai-photo-image-generator
capcut-com,170350414718083204.jpg,CapCut,CapCut的,https://capcut.com/,45.5米,17,,15.75%,适用于所有平台的 AI 驱动的视频编辑器和图形设计工具。,AI Tiktok 助手,ai-tiktok-assistant,AI视频编辑器,ai-video-editor,照片和图像编辑器,photo-image-editor
hubspot-com,170350408974843671.jpg,HubSpot,HubSpot的,https://hubspot.com/,42.1米,7,,33.05%,使用 HubSpot 的客户平台更快地发展您的业务。,人工智能网站建设者,ai-website-builder,AI 开发人员工具,ai-developer-tools,AI电子邮件营销,ai-email-marketing
coursehero-com,170350413878793168.jpg,Course Hero,课程英雄,https://coursehero.com/,29.2米,15,,57.81%,学习资源、笔记、备考、家庭作业帮助和专家导师触手可及。,人工智能课程,ai-course,家庭作业助手,ai-homework-helper,文案,copywriting
elevenlabs-io,170349993442883512.jpg,ElevenLabs,十一实验室,https://elevenlabs.io/,18.1米,23,,20.86%,在几分钟内生成高质量的 AI 语音。,AI语音克隆,ai-voice-cloning,AI 语音合成,ai-speech-synthesis,文字转语音,text-to-speech
spicychat-ai,170373310470085106.jpg,SpicyChat AI,SpicyChat 人工智能,https://spicychat.ai/,16.3米,3,,42.14%,使用 SpicyChat AI 创建 AI 角色并与之交互。,AI聊天机器人,ai-chatbot,,,,
